method,graph_id,num_nodes,num_edges,expected_cut,best_cut,approximation_ratio,classical_ratio,retention_vs_classical,proposal_ms,evaluation_ms,total_ms,angle_l2_to_target,distance_to_source_centroid,raw_angles
Classical depth-2 search,84,12,18,12.202735600307182,14.0,0.8716239714505131,0.8716239714505131,1.0,712.3334999999997,0.0,712.3334999999997,0.0,0.11630985550003387,
Transcriptomic heuristic,84,12,18,12.04601621081698,14.0,0.86042972934407,0.8716239714505131,0.9871570281760217,0.001041999993844911,0.5734169999982441,0.574458999992089,0.11630986838945671,2.6545870188517664e-08,[0.52165031 0.99167156 0.4430064  0.25166893]
Transcriptomic descriptor regressor,84,12,18,10.172385776351927,14.0,0.7265989840251377,0.8716239714505131,0.8336151916702886,0.2235420000005206,0.5486670000038885,0.7722090000044091,0.6031357818269618,0.505411991202201,[0.83479361 1.36567753 0.54987718 0.32964782]
Transcriptomic GNN transfer,84,12,18,8.540813750205155,14.0,0.610058125014654,0.8716239714505131,0.6999097603975092,0.7095830000025671,0.5469170000083068,1.256500000010874,2.2504655344754894,2.168397235901863,[1.38034046 2.83799815 1.14424157 0.50454259]
Morphology heuristic,84,12,18,12.160457438424512,14.0,0.868604102744608,0.8716239714505131,0.9965353537708703,0.0008749999977908374,0.5106249999897727,0.5114999999875636,0.08213808108553589,0.13593203181438862,[0.4209238  0.90145922 0.43088698 0.24484654]
Morphology descriptor regressor,84,12,18,12.138883152648024,14.0,0.8670630823320017,0.8716239714505131,0.9947673661258749,0.15762499999993906,0.48616600000173094,0.64379100000167,0.07069920809443432,0.14616963221090434,[0.3982578  1.01545133 0.41244532 0.18354849]
Morphology GNN (oracle),84,12,18,12.087405557229665,14.0,0.8633861112306904,0.8716239714505131,0.9905488370103984,0.6047079999973448,0.5006250000008095,1.1053329999981543,0.09881023010512682,0.08089741763591606,[0.45536971 1.03095877 0.45672211 0.2311831 ]
Classical depth-2 search,85,12,18,12.50631312638344,15.0,0.8337542084255626,0.8337542084255626,1.0,707.9412919999868,0.0,707.9412919999868,0.0,0.12604832651478637,
Transcriptomic heuristic,85,12,18,12.414171677750101,15.0,0.8276114451833401,0.8337542084255626,0.9926324051139456,0.0006669999947916949,0.48970900000711026,0.49037600000190196,0.12604834830784117,2.6545870188517664e-08,[0.52165031 0.99167156 0.4430064  0.25166893]
Transcriptomic descriptor regressor,85,12,18,10.972250260469785,15.0,0.7314833506979856,0.8337542084255626,0.8773369217281646,0.1493749999923466,0.4923329999968473,0.6417079999891939,0.5442668921538998,0.42077027474249484,[0.81309092 1.2712371  0.53051138 0.33101604]
Transcriptomic GNN transfer,85,12,18,8.375191488116197,15.0,0.5583460992077465,0.8337542084255626,0.6696770985565532,0.5921669999935375,0.4997919999993883,1.0919589999929258,1.978548971567422,1.8685091232590403,[1.26669633 2.58096623 1.04576302 0.4686012 ]
Morphology heuristic,85,12,18,12.50555292683411,15.0,0.8337035284556074,0.8337542084255626,0.9999392147356582,0.0007079999875259091,0.6007500000038135,0.6014579999913394,0.013154403954974452,0.13593203181438862,[0.4209238  0.90145922 0.43088698 0.24484654]
Morphology descriptor regressor,85,12,18,12.504565772972274,15.0,0.8336377181981516,0.8337542084255626,0.9998602822915509,0.2173329999948237,0.5564169999985324,0.7737499999933561,0.019400151037831614,0.11537603061982982,[0.42259458 0.93298637 0.43676755 0.24758   ]
Morphology GNN (oracle),85,12,18,12.47664873282418,15.0,0.8317765821882788,0.8337542084255626,0.997628046470652,0.6981249999995498,0.5524580000013657,1.2505830000009155,0.05198386220706493,0.11641675350202738,[0.43739384 0.93363082 0.4011173  0.21519582]
Classical depth-2 search,86,12,18,12.700530921789863,15.0,0.8467020614526575,0.8467020614526575,1.0,702.0119999999963,0.0,702.0119999999963,0.0,0.1594048422389034,
Transcriptomic heuristic,86,12,18,12.554958799472605,15.0,0.8369972532981736,0.8467020614526575,0.9885381073268753,0.0009590000047410285,0.5469170000083068,0.5478760000130478,0.15940486461087042,2.6545870188517664e-08,[0.52165031 0.99167156 0.4430064  0.25166893]
Transcriptomic descriptor regressor,86,12,18,10.864951350954684,15.0,0.7243300900636456,0.8467020614526575,0.8554722174892754,0.1463339999929758,0.5379579999953421,0.6842919999883179,0.5875445415942393,0.4569424456208429,[0.82442688 1.30892795 0.54097582 0.33457312]
Transcriptomic GNN transfer,86,12,18,8.539027741503345,15.0,0.569268516100223,0.8467020614526575,0.67233628216701,0.6629159999960166,0.5300419999940686,1.1929579999900852,2.2687350425989075,2.1497011855497328,[1.3746748  2.82137609 1.13721848 0.50428581]
Morphology heuristic,86,12,18,12.637805753400908,15.0,0.8425203835600605,0.8467020614526575,0.9950612168282399,0.0008749999977908374,0.534833000003232,0.5357080000010228,0.08432034994461206,0.13593203181438862,[0.4209238  0.90145922 0.43088698 0.24484654]
Morphology descriptor regressor,86,12,18,12.602135751311325,15.0,0.840142383420755,0.8467020614526575,0.9922526726571939,0.1488329999972393,0.5064169999968726,0.6552499999941119,0.09080516895775391,0.23807859085097216,[0.43908781 0.79692872 0.49848417 0.34580872]
Morphology GNN (oracle),86,12,18,12.531967583765088,15.0,0.8354645055843392,0.8467020614526575,0.986727851058921,0.6175000000041564,0.5312920000051236,1.14879200000928,0.173826061710111,0.07365780475218255,[0.46023244 1.02642262 0.45035097 0.23187654]
Classical depth-2 search,87,12,18,12.433155387795743,14.0,0.888082527699696,0.888082527699696,1.0,691.5229589999967,0.0,691.5229589999967,0.0,0.1307728780781782,
Transcriptomic heuristic,87,12,18,12.281474245305308,14.0,0.8772481603789506,0.888082527699696,0.9878002697015011,0.0007080000017367638,0.4801660000026686,0.4808740000044054,0.130772897381469,2.6545870188517664e-08,[0.52165031 0.99167156 0.4430064  0.25166893]
Transcriptomic descriptor regressor,87,12,18,10.99262719191255,14.0,0.7851876565651822,0.888082527699696,0.8841381651758973,0.1456669999981841,0.5911249999996926,0.7367919999978767,0.4417203218824245,0.31139680100245526,[0.77161555 1.15364376 0.50128387 0.32134013]
Transcriptomic GNN transfer,87,12,18,8.047945310136585,14.0,0.5748532364383275,0.888082527699696,0.6472970906513695,0.6529999999997926,0.5461249999996198,1.1991249999994125,2.053556648484119,1.9379690722983642,[1.29738355 2.63915086 1.06669068 0.47703949]
Morphology heuristic,87,12,18,12.419985509484327,14.0,0.8871418221060233,0.888082527699696,0.9989407452975015,0.0009999999974752427,0.540916000005609,0.5419160000030843,0.03406526446433254,0.13593203181438862,[0.4209238  0.90145922 0.43088698 0.24484654]
Morphology descriptor regressor,87,12,18,12.198847630861398,14.0,0.8713462593472426,0.888082527699696,0.9811546023816013,0.18991600001072584,0.5068330000028709,0.6967490000135967,0.13063521150314306,0.13332538956681209,[0.46047613 0.90574604 0.50913228 0.29939268]
Morphology GNN (oracle),87,12,18,12.421769099880164,14.0,0.8872692214200117,0.888082527699696,0.9990841996612737,0.653124999999477,0.5263749999926404,1.1794999999921174,0.04791900329186978,0.09264624350310723,[0.44836503 0.95856839 0.40923962 0.22041862]
