training_seed,method,graph_id,num_nodes,num_edges,expected_cut,best_cut,approximation_ratio,runtime_ms
3,Classical depth-2 search,42,10,18,11.751805223276772,14.0,0.8394146588054837,919.5308330000032
3,Heuristic mean-angle initializer,42,10,18,11.694838482007416,14.0,0.8353456058576726,0.36749999999585725
3,Graph-conditioned GNN (ours),42,10,18,11.698437336830965,14.0,0.8356026669164975,0.47962500000409136
3,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,999.0731250000024
3,Heuristic mean-angle initializer,43,10,18,11.751695948611708,14.0,0.8394068534722648,0.3624999999942702
3,Graph-conditioned GNN (ours),43,10,18,11.755976811764281,14.0,0.8397126294117344,0.5111249999956158
3,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,1079.3220829999939
3,Heuristic mean-angle initializer,44,10,18,11.597600483237912,13.0,0.8921231140952239,0.3485829999974044
3,Graph-conditioned GNN (ours),44,10,18,11.602340562611165,13.0,0.8924877355854742,0.42666699999927005
3,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,1094.4920840000023
3,Heuristic mean-angle initializer,45,10,18,11.588734134597127,13.0,0.891441087276702,0.3446250000038731
3,Graph-conditioned GNN (ours),45,10,18,11.593887874407898,13.0,0.8918375288006075,0.4045829999981265
3,Classical depth-2 search,46,10,18,11.717125975406598,14.0,0.8369375696718998,1023.1273750000014
3,Heuristic mean-angle initializer,46,10,18,11.623542937662677,14.0,0.8302530669759055,0.3419170000000804
3,Graph-conditioned GNN (ours),46,10,18,11.63109140270371,14.0,0.830792243050265,0.39249999999668717
3,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,1139.6882080000025
3,Heuristic mean-angle initializer,47,10,18,11.59567621695667,13.0,0.8919750936120516,0.343499999999608
3,Graph-conditioned GNN (ours),47,10,18,11.600139087957906,13.0,0.8923183913813774,0.3908750000007899
7,Classical depth-2 search,42,10,18,11.751805223276772,14.0,0.8394146588054837,932.464374999995
7,Heuristic mean-angle initializer,42,10,18,11.694838482007416,14.0,0.8353456058576726,0.36791600000185554
7,Graph-conditioned GNN (ours),42,10,18,11.314537294248051,14.0,0.8081812353034322,0.5052500000033433
7,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,1002.2545000000065
7,Heuristic mean-angle initializer,43,10,18,11.751695948611708,14.0,0.8394068534722648,0.34558299999787323
7,Graph-conditioned GNN (ours),43,10,18,11.813968846363027,14.0,0.8438549175973591,0.42579099999784376
7,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,1093.0002919999993
7,Heuristic mean-angle initializer,44,10,18,11.597600483237912,13.0,0.8921231140952239,0.35375000000215095
7,Graph-conditioned GNN (ours),44,10,18,11.663461584418675,13.0,0.8971893526475904,0.4011669999925971
7,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,1110.1428330000117
7,Heuristic mean-angle initializer,45,10,18,11.588734134597127,13.0,0.891441087276702,0.34745899999677476
7,Graph-conditioned GNN (ours),45,10,18,11.64875420526938,13.0,0.8960580157899524,0.4085420000023987
7,Classical depth-2 search,46,10,18,11.717125975406598,14.0,0.8369375696718998,1036.448667000002
7,Heuristic mean-angle initializer,46,10,18,11.623542937662677,14.0,0.8302530669759055,0.3622500000091122
7,Graph-conditioned GNN (ours),46,10,18,11.570382073884165,14.0,0.8264558624202974,0.40404199999954926
7,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,1150.154208999993
7,Heuristic mean-angle initializer,47,10,18,11.59567621695667,13.0,0.8919750936120516,0.3566670000054728
7,Graph-conditioned GNN (ours),47,10,18,11.650493170552089,13.0,0.8961917823501607,0.40208300001154385
11,Classical depth-2 search,42,10,18,11.751805223276772,14.0,0.8394146588054837,931.6310000000101
11,Heuristic mean-angle initializer,42,10,18,11.694838482007416,14.0,0.8353456058576726,0.35508300000230975
11,Graph-conditioned GNN (ours),42,10,18,11.6748146057538,14.0,0.8339153289824143,0.4691249999950742
11,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,1012.9191670000068
11,Heuristic mean-angle initializer,43,10,18,11.751695948611708,14.0,0.8394068534722648,0.3430420000114509
11,Graph-conditioned GNN (ours),43,10,18,11.814131085839426,14.0,0.8438665061313876,0.4002499999984366
11,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,1100.3173339999962
11,Heuristic mean-angle initializer,44,10,18,11.597600483237912,13.0,0.8921231140952239,0.3569170000048416
11,Graph-conditioned GNN (ours),44,10,18,11.662454212408191,13.0,0.8971118624929377,0.39683400000001257
11,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,1120.2775410000072
11,Heuristic mean-angle initializer,45,10,18,11.588734134597127,13.0,0.891441087276702,0.35095800001272437
11,Graph-conditioned GNN (ours),45,10,18,11.650006522944892,13.0,0.8961543479188379,0.4500409999934618
11,Classical depth-2 search,46,10,18,11.717125975406598,14.0,0.8369375696718998,1032.746459000009
11,Heuristic mean-angle initializer,46,10,18,11.623542937662677,14.0,0.8302530669759055,0.3525000000053069
11,Graph-conditioned GNN (ours),46,10,18,11.625238522287532,14.0,0.8303741801633951,0.39274999998895055
11,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,1129.6576670000036
11,Heuristic mean-angle initializer,47,10,18,11.59567621695667,13.0,0.8919750936120516,0.3406659999996009
11,Graph-conditioned GNN (ours),47,10,18,11.65228424687741,13.0,0.8963295574521085,0.39200000000505497
19,Classical depth-2 search,42,10,18,11.751805223276772,14.0,0.8394146588054837,911.2408750000043
19,Heuristic mean-angle initializer,42,10,18,11.694838482007416,14.0,0.8353456058576726,0.4959579999876951
19,Graph-conditioned GNN (ours),42,10,18,11.745571714111605,14.0,0.838969408150829,0.4754580000110309
19,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,995.2591250000182
19,Heuristic mean-angle initializer,43,10,18,11.751695948611708,14.0,0.8394068534722648,0.34366700000987294
19,Graph-conditioned GNN (ours),43,10,18,11.81389530678554,14.0,0.8438496647703957,0.5005829999902289
19,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,1072.391290999974
19,Heuristic mean-angle initializer,44,10,18,11.597600483237912,13.0,0.8921231140952239,0.3319170000111171
19,Graph-conditioned GNN (ours),44,10,18,11.6645469949887,13.0,0.8972728457683616,0.404459000009183
19,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,1074.935833000012
19,Heuristic mean-angle initializer,45,10,18,11.588734134597127,13.0,0.891441087276702,0.331583000019009
19,Graph-conditioned GNN (ours),45,10,18,11.648902092053678,13.0,0.8960693916964367,0.3879589999939981
19,Classical depth-2 search,46,10,18,11.717125975406598,14.0,0.8369375696718998,1003.1428750000089
19,Heuristic mean-angle initializer,46,10,18,11.623542937662677,14.0,0.8302530669759055,0.32637500001442277
19,Graph-conditioned GNN (ours),46,10,18,11.194196172238918,14.0,0.7995854408742085,0.3834999999980937
19,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,1119.9450000000013
19,Heuristic mean-angle initializer,47,10,18,11.59567621695667,13.0,0.8919750936120516,0.32974999999169086
19,Graph-conditioned GNN (ours),47,10,18,11.650734816498517,13.0,0.8962103704998859,0.37725000001387343
23,Classical depth-2 search,42,10,18,11.751805223276772,14.0,0.8394146588054837,906.6911669999911
23,Heuristic mean-angle initializer,42,10,18,11.694838482007416,14.0,0.8353456058576726,0.3695000000050186
23,Graph-conditioned GNN (ours),42,10,18,11.744945078877345,14.0,0.8389246484912389,0.46120900000801157
23,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,978.0394999999942
23,Heuristic mean-angle initializer,43,10,18,11.751695948611708,14.0,0.8394068534722648,0.3357499999765423
23,Graph-conditioned GNN (ours),43,10,18,11.815312645159205,14.0,0.8439509032256575,0.41541699999925186
23,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,1053.834208000012
23,Heuristic mean-angle initializer,44,10,18,11.597600483237912,13.0,0.8921231140952239,0.3780410000047141
23,Graph-conditioned GNN (ours),44,10,18,11.664207336660258,13.0,0.8972467182046352,0.4466249999950378
23,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,1069.888542000001
23,Heuristic mean-angle initializer,45,10,18,11.588734134597127,13.0,0.891441087276702,0.3437500000131877
23,Graph-conditioned GNN (ours),45,10,18,11.649910080023169,13.0,0.8961469292325515,0.42483400000037363
23,Classical depth-2 search,46,10,18,11.717125975406598,14.0,0.8369375696718998,999.2973749999976
23,Heuristic mean-angle initializer,46,10,18,11.623542937662677,14.0,0.8302530669759055,0.3339579999988018
23,Graph-conditioned GNN (ours),46,10,18,11.693338834511064,14.0,0.8352384881793616,0.39937500000064574
23,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,1109.640249999984
23,Heuristic mean-angle initializer,47,10,18,11.59567621695667,13.0,0.8919750936120516,0.3355409999983294
23,Graph-conditioned GNN (ours),47,10,18,11.65244537337323,13.0,0.8963419517979407,0.3846250000094642
